idx_p,idx_v,nb,displace_func,metric,value_uni,value_opt,time_uni,time_opt
1,1,1,black_box,obj_pwldr,214687.59692158236,214683.77186186385,0.029000043869018555,2.860999822616577
1,1,1,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.029000043869018555,2.860999822616577
1,1,1,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.029000043869018555,2.860999822616577
1,1,1,local_search,obj_pwldr,214687.59692158236,214683.77186186385,0.029000043869018555,0.2779998779296875
1,1,1,local_search,dr_pwldr,214671.51501115004,214671.51501115004,0.029000043869018555,0.2779998779296875
1,1,1,local_search,reopt_pwldr,219151.27991230635,219151.27991230635,0.029000043869018555,0.2779998779296875
1,1,2,black_box,obj_pwldr,214689.60817451336,214684.06874797525,0.03500008583068848,3.322999954223633
1,1,2,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.03500008583068848,3.322999954223633
1,1,2,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.03500008583068848,3.322999954223633
1,1,2,local_search,obj_pwldr,214689.60817451336,214684.06874797525,0.03500008583068848,0.2849998474121094
1,1,2,local_search,dr_pwldr,214671.51501115004,214671.51501115004,0.03500008583068848,0.2849998474121094
1,1,2,local_search,reopt_pwldr,219151.27991230635,219151.27991230635,0.03500008583068848,0.2849998474121094
1,1,3,black_box,obj_pwldr,214689.02405823584,214685.61091799493,0.04699993133544922,3.7250001430511475
1,1,3,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.04699993133544922,3.7250001430511475
1,1,3,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.04699993133544922,3.7250001430511475
1,1,3,local_search,obj_pwldr,214689.02405823584,214685.61091799493,0.04699993133544922,0.3600001335144043
1,1,3,local_search,dr_pwldr,214671.51501115004,214671.51501115004,0.04699993133544922,0.3600001335144043
1,1,3,local_search,reopt_pwldr,219151.27991230635,219151.27991230635,0.04699993133544922,0.3600001335144043
1,1,4,black_box,obj_pwldr,214687.38208397507,214685.95121672947,0.0409998893737793,4.127000093460083
1,1,4,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.0409998893737793,4.127000093460083
1,1,4,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.0409998893737793,4.127000093460083
1,1,4,local_search,obj_pwldr,214687.38208397507,214685.95121672947,0.0409998893737793,0.44300007820129395
1,1,4,local_search,dr_pwldr,214671.51501115004,214671.51501115004,0.0409998893737793,0.44300007820129395
1,1,4,local_search,reopt_pwldr,219151.27991230635,219151.27991230635,0.0409998893737793,0.44300007820129395
1,1,5,black_box,obj_pwldr,214689.66992188714,214686.36464083137,0.03699994087219238,5.021000146865845
1,1,5,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.03699994087219238,5.021000146865845
1,1,5,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.03699994087219238,5.021000146865845
1,1,5,local_search,obj_pwldr,214689.66992188714,214686.36464083137,0.03699994087219238,0.627000093460083
1,1,5,local_search,dr_pwldr,214671.51501115004,214671.51501115004,0.03699994087219238,0.627000093460083
1,1,5,local_search,reopt_pwldr,219151.27991230635,219151.27991230635,0.03699994087219238,0.627000093460083
1,1,6,black_box,obj_pwldr,214687.90415189014,214686.76226881694,0.03400015830993652,5.25
1,1,6,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.03400015830993652,5.25
1,1,6,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.03400015830993652,5.25
1,1,6,local_search,obj_pwldr,214687.90415189014,214686.76226881694,0.03400015830993652,0.6019999980926514
1,1,6,local_search,dr_pwldr,214671.51501115004,214671.51501115004,0.03400015830993652,0.6019999980926514
1,1,6,local_search,reopt_pwldr,219151.27991230635,219151.27991230635,0.03400015830993652,0.6019999980926514
1,1,7,black_box,obj_pwldr,214689.17321619263,214686.59806657198,0.04399991035461426,5.561999797821045
1,1,7,black_box,dr_pwldr,214671.51501115004,214671.51501115004,0.04399991035461426,5.561999797821045
1,1,7,black_box,reopt_pwldr,219151.27991230635,219151.27991230635,0.04399991035461426,5.561999797821045
1,1,7,local_search,obj_pwldr,214689.17321619263,214686.59806657198,0.04399991035461426,0.753000020980835
