idx_p,idx_v,nb,displace_func,metric,value_uni,value_opt,time_uni,time_opt
1,2,1,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.029000043869018555,2.0899999141693115
1,2,1,local_search,obj_pwldr,75725.26430763262,75495.82209909415,0.029000043869018555,0.12000012397766113
1,2,1,local_search,dr_pwldr,75702.87839781953,75477.67468740056,0.029000043869018555,0.12000012397766113
1,2,1,local_search,reopt_pwldr,73696.35123795512,73696.35123795511,0.029000043869018555,0.12000012397766113
1,2,2,black_box,obj_pwldr,75567.59440563495,75496.6328337702,0.03900003433227539,4.36899995803833
1,2,2,black_box,dr_pwldr,75547.76929633114,75478.40351917478,0.03900003433227539,4.36899995803833
1,2,2,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.03900003433227539,4.36899995803833
1,2,2,local_search,obj_pwldr,75567.59440563495,75496.6328337702,0.03900003433227539,0.10100007057189941
1,2,2,local_search,dr_pwldr,75547.76929633114,75478.40351917478,0.03900003433227539,0.10100007057189941
1,2,2,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.03900003433227539,0.10100007057189941
1,2,3,black_box,obj_pwldr,75508.32893561335,75494.42197260265,0.06700015068054199,6.930000066757202
1,2,3,black_box,dr_pwldr,75489.66020019693,75476.27637875451,0.06700015068054199,6.930000066757202
1,2,3,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.06700015068054199,6.930000066757202
1,2,3,local_search,obj_pwldr,75508.32893561335,75494.42197260265,0.06700015068054199,0.3989999294281006
1,2,3,local_search,dr_pwldr,75489.66020019693,75476.27637875451,0.06700015068054199,0.3989999294281006
1,2,3,local_search,reopt_pwldr,73696.35123795512,73696.35123795511,0.06700015068054199,0.3989999294281006
1,2,4,black_box,obj_pwldr,75536.13792485736,75494.37950001929,0.07599997520446777,10.410000085830688
1,2,4,black_box,dr_pwldr,75516.07341160692,75476.24305441578,0.07599997520446777,10.410000085830688
1,2,4,black_box,reopt_pwldr,73696.35123795511,73696.35123795512,0.07599997520446777,10.410000085830688
1,2,4,local_search,obj_pwldr,75536.13792485736,75494.37950001929,0.07599997520446777,0.690000057220459
1,2,4,local_search,dr_pwldr,75516.07341160692,75476.24305441578,0.07599997520446777,0.690000057220459
1,2,4,local_search,reopt_pwldr,73696.35123795511,73696.35123795512,0.07599997520446777,0.690000057220459
1,2,5,black_box,obj_pwldr,75528.35455821718,75494.62183293383,0.08100008964538574,14.023000001907349
1,2,5,black_box,dr_pwldr,75508.65424567038,75476.46670051967,0.08100008964538574,14.023000001907349
1,2,5,black_box,reopt_pwldr,73696.35123795514,73696.35123795512,0.08100008964538574,14.023000001907349
1,2,5,local_search,obj_pwldr,75528.35455821718,75494.25342453888,0.08100008964538574,1.806999921798706
1,2,5,local_search,dr_pwldr,75508.65424567038,75476.11557979436,0.08100008964538574,1.806999921798706
1,2,5,local_search,reopt_pwldr,73696.35123795514,73696.35123795512,0.08100008964538574,1.806999921798706
1,2,6,black_box,obj_pwldr,75506.16602325035,75494.30488304797,0.10300016403198242,17.193000078201294
1,2,6,black_box,dr_pwldr,75487.74564502003,75476.16201509605,0.10300016403198242,17.193000078201294
1,2,6,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.10300016403198242,17.193000078201294
1,2,6,local_search,obj_pwldr,75506.16602325035,75494.26039614329,0.10300016403198242,1.875
1,2,6,local_search,dr_pwldr,75487.74564502003,75476.1208681089,0.10300016403198242,1.875
1,2,6,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.10300016403198242,1.875
1,2,7,black_box,obj_pwldr,75502.80428686902,75494.21283096755,0.1510000228881836,20.249000072479248
1,2,7,black_box,dr_pwldr,75484.17519626133,75476.08255892081,0.1510000228881836,20.249000072479248
1,2,7,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.1510000228881836,20.249000072479248
1,2,7,local_search,obj_pwldr,75502.80428686902,75494.21283096755,0.1510000228881836,1.812999963760376
1,2,7,local_search,dr_pwldr,75484.17519626133,75476.08255892081,0.1510000228881836,1.812999963760376
1,2,7,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.1510000228881836,1.812999963760376
1,2,8,black_box,obj_pwldr,75509.4849399822,75494.43103354583,0.14600014686584473,24.009999990463257
1,2,8,black_box,dr_pwldr,75490.22945664541,75476.28152175886,0.14600014686584473,24.009999990463257
1,2,8,black_box,reopt_pwldr,73696.35123795512,73696.35123795512,0.14600014686584473,24.009999990463257
1,2,8,local_search,obj_pwldr,75509.4849399822,75494.43103354583,0.14600014686584473,2.812999963760376
1,2,8,local_search,dr_pwldr,75490.22945664541,75476.28152175886,0.14600014686584473,2.812999963760376
1,2,8,local_search,reopt_pwldr,73696.35123795512,73696.35123795512,0.14600014686584473,2.812999963760376
1,2,9,black_box,obj_pwldr,75505.97678749118,75494.31317061283,0.1979999542236328,27.417999982833862
1,2,9,black_box,dr_pwldr,75487.03430019435,75476.17129994796,0.1979999542236328,27.417999982833862
1,2,9,black_box,reopt_pwldr,73696.35123795512,73696.35123795511,0.1979999542236328,27.417999982833862
1,2,9,local_search,obj_pwldr,75505.97678749118,75494.31317061283,0.1979999542236328,3.2910001277923584
1,2,9,local_search,dr_pwldr,75487.03430019435,75476.17129994798,0.1979999542236328,3.2910001277923584
