idx_p,idx_v,variable,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
1,1,"Uniform{Float64}(a=10.0, b=90.0)",0.010669810344720816,1.0,0.3520609898533044,0.018482071824887928,0.4309639362068727,16.004715517081234,1500.0,528.0914847799565,27.723107737331908,646.4459043103092,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,2,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.010260626516940015,1.0,0.3512096744383411,0.01719840939040657,0.4316279196086345,15.390939775410004,1500.0,526.814511657511,25.797614085609894,647.4418794129523,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,3,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",0.010578958352733673,1.0,0.35203293622748083,0.018388322129291656,0.4309842888574705,15.868437529100547,1500.0,528.0494043412211,27.58248319393749,646.4764332862056,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,4,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.011361517844399031,1.0,0.35241338697316427,0.018979947140857652,0.43068630614481024,17.042276766598516,1500.0,528.6200804597466,28.469920711286434,646.0294592172153,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,5,"Truncated(Normal{Float64}(μ=45.0, σ=5.0); lower=30.0, upper=60.0)",0.011131155512396866,1.0,0.3516565814826242,0.017661011327159033,0.43127763008287906,16.696733268595302,1500.0,527.4848722239363,26.491516990738543,646.9164451243187,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,6,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=37.0, σ=3.0); lower=30.0, upper=60.0), Truncated(Normal{Float64}(μ=52.0, σ=3.0); lower=30.0, upper=60.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=30.0, upper=60.0)
",0.0114008949835005,1.0,0.3513462694014789,0.015308031448141062,0.43151772327814153,17.101342475250718,1500.0,527.0194041022186,22.96204717221149,647.2765849172137,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,7,"Truncated(Normal{Float64}(μ=45.0, σ=15.0); lower=30.0, upper=60.0)",0.012969954835547965,1.0,0.35222744216743174,0.017634362482952644,0.4308290053501194,19.4549322533219,1500.0,528.341163251147,26.451543724428987,646.24350802518,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,8,"Truncated(Normal{Float64}(μ=45.0, σ=15.0); lower=30.0, upper=60.0)",0.010117031646274192,1.0,0.35152857349289335,0.016809545662603665,0.4313773266199542,15.175547469411248,1500.0,527.2928602393401,25.21431849390557,647.0659899299312,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,9,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=37.0, σ=3.0); lower=30.0, upper=60.0), Truncated(Normal{Float64}(μ=52.0, σ=3.0); lower=30.0, upper=60.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=30.0, upper=60.0)
",0.010325089937762813,1.0,0.351458175074956,0.016504772906414337,0.4314321124205746,15.487634906644203,1500.0,527.1872626124342,24.757159359621493,647.1481686308615,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,10,"Truncated(Normal{Float64}(μ=45.0, σ=5.0); lower=30.0, upper=60.0)",0.00035360429070084,1.0,0.3437801782058608,0.0004130615255258132,0.4374470983806863,22.618271855405467,79110.7566523751,27193.418208953954,26.421449408416734,34609.35495046641,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,11,"Uniform{Float64}(a=30.0, b=60.0)",0.010462189987956871,1.0,0.35108535789403633,0.016632215853319875,0.43172433941228056,15.693284981935278,1500.0,526.6280368410544,24.948323779979795,647.5865091184203,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
1,12,"Uniform{Float64}(a=30.0, b=60.0)",0.01149629604443247,1.0,0.3516007682896706,0.01678710342587443,0.431320052589961,17.244444066648665,1500.0,527.4011524345043,25.18065513881173,646.9800788849443,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,1,"Truncated(Normal{Float64}(μ=50.0, σ=40.0); lower=10.0, upper=90.0)",0.01154863678358967,1.0,0.3472113549327115,0.018460643216300622,0.4299647879544618,17.322955175384497,1500.0,520.8170323990674,27.69096482445092,644.9471819316924,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,2,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=30.0, σ=8.0); lower=10.0, upper=90.0), Truncated(Normal{Float64}(μ=70.0, σ=8.0); lower=10.0, upper=90.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=10.0, upper=90.0)
",0.010175411444953812,1.0,0.3461424435244356,0.016606611417964535,0.4307890215151907,15.26311716743068,1500.0,519.2136652866537,24.909917126946755,646.1835322727858,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,3,"Uniform{Float64}(a=10.0, b=90.0)",0.010324437373272948,1.0,0.3461946627438538,0.017111097634959258,0.4307498488734754,15.486656059909448,1500.0,519.2919941157805,25.66664645243892,646.1247733102133,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,4,"Truncated(Normal{Float64}(μ=50.0, σ=15.0); lower=10.0, upper=90.0)",0.01086811734075188,1.0,0.3473642569407701,0.017958987149485767,0.4298456914905425,16.30217601112784,1500.0,521.0463854111554,26.93848072422866,644.7685372358138,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,5,"Truncated(MixtureModel{Univariate, Continuous, Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}, Categorical{Float64, Vector{Float64}}}(
components: Truncated{Normal{Float64}, Continuous, Float64, Float64, Float64}[Truncated(Normal{Float64}(μ=37.0, σ=3.0); lower=30.0, upper=60.0), Truncated(Normal{Float64}(μ=52.0, σ=3.0); lower=30.0, upper=60.0)]
prior: Categorical{Float64, Vector{Float64}}(support=Base.OneTo(2), p=[0.5, 0.5])
)
; lower=30.0, upper=60.0)
",0.011540128694426272,1.0,0.34690551016661475,0.01711427955137114,0.430199376891767,17.310193041639433,1500.0,520.3582652499223,25.671419327056665,645.2990653376506,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,6,"Truncated(Normal{Float64}(μ=45.0, σ=5.0); lower=30.0, upper=60.0)",0.010040723107394787,1.0,0.3465024122033538,0.018063664909039382,0.4305151013394586,15.061084661092154,1500.0,519.753618305032,27.0954973635591,645.7726520091875,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
2,7,"Truncated(Normal{Float64}(μ=45.0, σ=5.0); lower=30.0, upper=60.0)",0.01094479911763625,1.0,0.3462221530872675,0.015642211767953326,0.4307263460083057,16.417198676454348,1500.0,519.3332296309013,23.463317651929934,646.0895190124573,0.0,0.16666666666666666,0.03571428571428571,0.0,0.06838765055402414
