idx_p,metric,value,time,first_stage_decision
9,obj_std,25023.22013684499,0.08500003814697266,"[71.07096668828626, 129.65825158218212, 0.0, 0.0, 0.0]"
9,reopt_std,24977.384857262394,0.14300012588500977,
9,deterministic,22406.726750594054,0.003999948501586914,"[50.0, 150.0, 0.0, 0.0, 0.0]"
9,reopt_deterministic,24992.765728055416,0.14600014686584473,
9,ws,22438.014352532577,0.08299994468688965,
9,obj_ldr,34617.98632696996,0.029999971389770508,"[90.0, 190.0, 0.0, 0.0, 0.0]"
9,reopt_ldr,28558.175271286724,0.10800004005432129,
9,dr_ldr,34644.73507617743,0.0009999275207519531,
10,obj_std,25660.68597821098,0.08999991416931152,"[69.99368645545621, 0.0, 124.20578947225317, 0.0, 0.0]"
10,reopt_std,26365.441355659277,0.14300012588500977,
10,deterministic,23541.809688179375,0.003999948501586914,"[100.0, 0.0, 100.0, 0.0, 0.0]"
10,reopt_deterministic,26385.962347510533,0.15000009536743164,
10,ws,23709.60809865686,0.13499999046325684,
10,obj_ldr,36475.539466510556,0.03099989891052246,"[20.0, 0.0, 190.0, 0.0, 0.0]"
10,reopt_ldr,26576.984889098603,0.1380000114440918,
10,dr_ldr,36643.00562813837,0.002000093460083008,
11,obj_std,25840.121013320535,0.08100008964538574,"[163.8455361673559, 0.0, 38.72035406724394, 0.0, 0.0]"
11,reopt_std,25585.501165895028,0.15999984741210938,
11,deterministic,23192.900536038484,0.0070002079010009766,"[150.0, 0.0, 50.0, 0.0, 0.0]"
11,reopt_deterministic,25583.06985976093,0.14599990844726562,
11,ws,22972.681948940168,0.08800005912780762,
11,obj_ldr,35499.71478600996,0.05200004577636719,"[190.0, 0.0, 10.0, 0.0, 0.0]"
11,reopt_ldr,25647.68381712786,0.15899991989135742,
11,dr_ldr,35213.91593887611,0.0009999275207519531,
12,obj_std,26108.913557669628,0.0839998722076416,"[38.017296440398155, 0.0, 0.0, 72.60234117261126, 89.04396051909869]"
12,reopt_std,26121.31913434017,0.1639997959136963,
12,deterministic,23446.457142558,0.003000020980834961,"[50.0, 0.0, 0.0, 50.0, 100.0]"
12,reopt_deterministic,26155.44630231171,0.15799999237060547,
12,ws,23429.581909323784,0.08000016212463379,
12,obj_ldr,36070.03218689484,0.031999826431274414,"[10.0, 0.0, 0.0, 260.0, 90.0]"
12,reopt_ldr,35735.14754439805,0.12200021743774414,
12,dr_ldr,36064.8340615219,0.0009999275207519531,
13,obj_std,27776.36880299881,0.08799982070922852,"[0.0, 170.02218795537982, 0.0, 0.0, 35.36517707094287]"
13,reopt_std,27515.849696705158,0.12400007247924805,
13,deterministic,24647.269631534484,0.003000020980834961,"[0.0, 150.0, 0.0, 0.0, 50.0]"
13,reopt_deterministic,27500.636954579288,0.127000093460083,
13,ws,24695.73584730111,0.07299995422363281,
13,obj_ldr,38113.678123826394,0.029999971389770508,"[0.0, 350.0, 0.0, 0.0, 10.0]"
13,reopt_ldr,38128.714256874584,0.07999992370605469,
13,dr_ldr,38128.714256874584,0.0,
14,obj_std,25374.961662833677,0.08100008964538574,"[0.0, 111.7887565191312, 0.0, 84.76742263474661, 0.0]"
14,reopt_std,26196.53387325414,0.13699984550476074,
14,deterministic,23229.834556581758,0.009999990463256836,"[0.0, 100.0, 0.0, 100.0, 0.0]"
14,reopt_deterministic,26185.12564223045,0.13700008392333984,
14,ws,23449.95811195152,0.07299995422363281,
14,obj_ldr,36072.80256522279,0.029999971389770508,"[0.0, 180.0, 0.0, 180.0, 0.0]"
14,reopt_ldr,36140.92914146207,0.06999993324279785,
14,dr_ldr,36140.929141462075,0.0,
15,obj_std,28633.497580736155,0.08100008964538574,"[27.01800800360418, 49.87284654749078, 0.0, 124.77837635024635, 0.0]"
15,reopt_std,28738.459990988136,0.14100003242492676,
15,deterministic,25679.41400211454,0.003999948501586914,"[50.0, 50.0, 0.0, 100.0, 0.0]"
15,reopt_deterministic,28781.39422288388,0.15000009536743164,
15,ws,25687.17671192966,0.08099985122680664,
15,obj_ldr,40254.91172905583,0.03299999237060547,"[10.0, 90.0, 0.0, 260.0, 0.0]"
15,reopt_ldr,40255.90165365739,0.07500004768371582,
15,dr_ldr,40255.90165365739,0.002000093460083008,
16,obj_std,25954.448117442,0.07200002670288086,"[0.0, 115.27227764389232, 86.11340338413984, 0.0, 0.0]"
16,reopt_std,26058.141063815252,0.11899995803833008,
16,deterministic,23174.388059589663,0.0,"[0.0, 150.0, 50.0, 0.0, 0.0]"
16,reopt_deterministic,26092.45326872073,0.125,
16,ws,23413.59396361409,0.07200002670288086,
16,obj_ldr,35988.93521362917,0.03600001335144043,"[0.0, 90.0, 110.0, 0.0, 0.0]"
16,reopt_ldr,26077.627389665267,0.11800003051757812,
16,dr_ldr,36201.214769954,0.0009999275207519531,
17,obj_std,27074.725179611454,0.06999993324279785,"[0.0, 0.0, 51.32804863607588, 113.02872409916804, 32.24282560423194]"
17,reopt_std,27093.430440700264,0.12800002098083496,
17,deterministic,24202.994447807432,0.016000032424926758,"[0.0, 0.0, 50.0, 100.0, 50.0]"
17,reopt_deterministic,27116.168884075094,0.127000093460083,
17,ws,24193.363479755004,0.08299994468688965,
17,obj_ldr,37507.36410927142,0.0279998779296875,"[0.0, 0.0, 90.0, 260.0, 10.0]"
17,reopt_ldr,37503.3514227823,0.07300019264221191,
17,dr_ldr,37503.3514227823,0.0009999275207519531,
18,obj_std,27197.608155057264,0.08300018310546875,"[0.0, 0.0, 0.0, 99.01893822644436, 113.10610446003176]"
18,reopt_std,26417.696922734016,0.12899994850158691,
18,deterministic,23509.841772299405,0.003999948501586914,"[0.0, 0.0, 0.0, 100.0, 100.0]"
18,reopt_deterministic,26299.198529445664,0.11500000953674316,
18,ws,23482.713301731954,0.07899999618530273,
18,obj_ldr,36941.29181260901,0.0279998779296875,"[0.0, 0.0, 0.0, 90.0, 260.0]"
18,reopt_ldr,35965.90095298582,0.09000015258789062,
18,dr_ldr,36922.48326653163,0.014999866485595703,
19,obj_std,24392.059320569853,0.0989999771118164,"[55.580327007836395, 140.3995188634163, 0.0, 0.0, 0.0]"
19,reopt_std,24533.158813599934,0.12899994850158691,
19,deterministic,22126.160451352895,0.003999948501586914,"[50.0, 150.0, 0.0, 0.0, 0.0]"
19,reopt_deterministic,24529.444935521813,0.12600016593933105,
19,ws,21980.183217248778,0.07799983024597168,
19,obj_ldr,34335.60265978592,0.031000137329101562,"[90.0, 270.0, 0.0, 0.0, 0.0]"
19,reopt_ldr,34283.62713700155,0.10599994659423828,
19,dr_ldr,34290.86901253766,0.0009999275207519531,
20,obj_std,26112.41430783279,0.0709998607635498,"[0.0, 66.97765793249027, 129.2302590991599, 0.0, 0.0]"
20,reopt_std,25875.65448841519,0.11100006103515625,
20,deterministic,23340.001622131684,0.016000032424926758,"[0.0, 50.0, 150.0, 0.0, 0.0]"
20,reopt_deterministic,25891.70002246995,0.11100006103515625,
20,ws,23204.883543639495,0.08599996566772461,
20,obj_ldr,36157.070340084065,0.015000104904174805,"[0.0, 90.0, 110.0, 0.0, 0.0]"
20,reopt_ldr,25918.42212275056,0.13299989700317383,
20,dr_ldr,36066.756958869155,0.0,
21,obj_std,25042.899900948985,0.06999993324279785,"[0.0, 0.0, 194.25936614640722, 0.0, 0.0]"
21,reopt_std,25300.67567463434,0.09800004959106445,
21,deterministic,22713.742282889318,0.0,"[0.0, 0.0, 200.0, 0.0, 0.0]"
21,reopt_deterministic,25276.243545992354,0.11100006103515625,
21,ws,22762.82869040228,0.07699990272521973,
21,obj_ldr,34916.20341130083,0.01699995994567871,"[0.0, 0.0, 200.0, 0.0, 0.0]"
21,reopt_ldr,25276.243545992354,0.11100006103515625,
21,dr_ldr,35128.18555238335,0.0009999275207519531,
22,obj_std,28305.792946041387,0.07699990272521973,"[23.310810295680533, 49.187071369824814, 129.17410305821159, 0.0, 0.0]"
22,reopt_std,28099.05054777433,0.1230001449584961,
22,deterministic,25149.791018663338,0.016000032424926758,"[0.0, 50.0, 150.0, 0.0, 0.0]"
22,reopt_deterministic,28115.06896071518,0.12099981307983398,
22,ws,25171.10961723172,0.09400010108947754,
22,obj_ldr,39090.06905657613,0.03399991989135742,"[20.0, 20.0, 160.0, 0.0, 0.0]"
22,reopt_ldr,28158.75186946083,0.127000093460083,
22,dr_ldr,39168.497516606105,0.0019998550415039062,
23,obj_std,25369.73224060004,0.07399988174438477,"[0.0, 0.0, 0.0, 0.0, 194.8286119102658]"
23,reopt_std,26019.05197323152,0.1100001335144043,
23,deterministic,23217.913705260595,0.004999876022338867,"[0.0, 0.0, 0.0, 0.0, 200.0]"
23,reopt_deterministic,25990.096150712183,0.10100007057189941,
23,ws,23335.094290150162,0.07500004768371582,
23,obj_ldr,35921.603649963945,0.0279998779296875,"[0.0, 0.0, 0.0, 0.0, 280.0]"
23,reopt_ldr,29664.221996864802,0.07400012016296387,
23,dr_ldr,36098.11505601276,0.0,
24,obj_std,26041.17691878263,0.08299994468688965,"[103.89071304156438, 0.0, 0.0, 36.820718749717045, 54.78622467125564]"
24,reopt_std,26642.151919015494,0.125,
24,deterministic,23660.03113712595,0.018000125885009766,"[100.0, 0.0, 0.0, 50.0, 50.0]"
24,reopt_deterministic,26625.099742466427,0.13199996948242188,
24,ws,23848.91548623703,0.09399986267089844,
24,obj_ldr,36807.77340227579,0.03900003433227539,"[170.0, 0.0, 0.0, 90.0, 20.0]"
24,reopt_ldr,30421.184499707346,0.12199997901916504,
24,dr_ldr,37046.69625214181,0.0010001659393310547,
25,obj_std,25262.5158795658,0.0970001220703125,"[24.72253960776311, 49.00056224385665, 126.25734014473252, 0.0, 0.0]"
25,reopt_std,25467.850698719558,0.12800002098083496,
25,deterministic,22759.202201577624,0.004999876022338867,"[0.0, 100.0, 100.0, 0.0, 0.0]"
25,reopt_deterministic,25532.026961331947,0.13499999046325684,
25,ws,22855.05885886443,0.09599995613098145,
25,obj_ldr,35146.467188175506,0.020000219345092773,"[10.0, 20.0, 170.0, 0.0, 0.0]"
25,reopt_ldr,25517.35251318372,0.13099980354309082,
25,dr_ldr,35336.35850565149,0.0010001659393310547,
26,obj_std,25634.95516397026,0.07400012016296387,"[0.0, 49.51891214960082, 154.78084424834017, 0.0, 0.0]"
26,reopt_std,25134.689296557222,0.11800003051757812,
26,deterministic,22436.094547362314,0.016000032424926758,"[0.0, 50.0, 150.0, 0.0, 0.0]"
26,reopt_deterministic,25128.795090439282,0.12800002098083496,
26,ws,22515.16936614771,0.0820000171661377,
26,obj_ldr,35119.49222364022,0.026999950408935547,"[0.0, 90.0, 190.0, 0.0, 0.0]"
26,reopt_ldr,28846.28588493429,0.08999991416931152,
26,dr_ldr,35156.860246098404,0.0009999275207519531,
27,obj_std,26741.7602015846,0.08500003814697266,"[0.0, 66.9215102459128, 39.30717850044874, 87.0185573676302, 0.0]"
27,reopt_std,27449.12884691919,0.13899993896484375,
27,deterministic,24415.735677277837,0.004999876022338867,"[0.0, 50.0, 50.0, 100.0, 0.0]"
27,reopt_deterministic,27397.812343829733,0.13900017738342285,
27,ws,24509.9985828565,0.07200002670288086,
27,obj_ldr,38311.787976025655,0.015999794006347656,"[0.0, 180.0, 90.0, 90.0, 0.0]"
27,reopt_ldr,38196.66696621759,0.11700010299682617,
27,dr_ldr,38341.10645433252,0.0009999275207519531,
