idx_p,metric,value,time,first_stage_decision
10,reopt_deterministic,95694.97784587125,0.19000005722045898,
10,ws,48790.491692485106,0.2560000419616699,
10,obj_ldr,75204.62797240495,0.03099989891052246,"[0.0, 0.0, 90.0, 0.0]"
10,reopt_ldr,73051.97057324719,0.16000008583068848,
10,dr_ldr,75199.81517777497,0.0009999275207519531,
11,obj_std,62076.06334748177,0.10699987411499023,"[0.0, 78.51826033664929, 0.0, 0.0]"
11,reopt_std,61637.73234017044,0.1379997730255127,
11,deterministic,43140.12695378334,0.016000032424926758,"[0.0, 50.0, 0.0, 0.0]"
11,reopt_deterministic,94057.07635347846,0.1640000343322754,
11,ws,39611.781390339354,0.21700000762939453,
11,obj_ldr,66827.52128842355,0.029999971389770508,"[0.0, 90.0, 0.0, 0.0]"
11,reopt_ldr,65445.014704188936,0.12199997901916504,
11,dr_ldr,66914.1963817098,0.0,
12,obj_std,63419.123762084855,0.11700010299682617,"[0.0, 78.29108084164722, 0.0, 0.0]"
12,reopt_std,62387.36383186491,0.15899991989135742,
12,deterministic,42675.789845337364,0.0,"[0.0, 50.0, 0.0, 0.0]"
12,reopt_deterministic,91722.71042980072,0.2070000171661377,
12,ws,43003.12092026403,0.22699999809265137,
12,obj_ldr,68853.05885170167,0.029000043869018555,"[0.0, 90.0, 0.0, 0.0]"
12,reopt_ldr,66989.74042521606,0.13000011444091797,
12,dr_ldr,68767.09950465488,0.0009999275207519531,
13,obj_std,63860.90807338871,0.10300016403198242,"[0.0, 0.0, 76.49626972631584, 0.0]"
13,reopt_std,63910.13447403135,0.182999849319458,
13,deterministic,44617.70989865786,0.015000104904174805,"[0.0, 0.0, 50.0, 0.0]"
13,reopt_deterministic,93905.11154042694,0.1770000457763672,
13,ws,40501.8348262172,0.23600006103515625,
13,obj_ldr,71432.13910826246,0.03099989891052246,"[0.0, 0.0, 89.99999999999999, 0.0]"
13,reopt_ldr,68201.65067360856,0.1830000877380371,
13,dr_ldr,71376.84025694494,0.0009999275207519531,
14,obj_std,68390.773931964,0.1230001449584961,"[0.0, 0.0, 73.90504159897446, 0.0]"
14,reopt_std,69759.36326247515,0.18599987030029297,
14,deterministic,48946.76831010675,0.0,"[0.0, 0.0, 50.0, 0.0]"
14,reopt_deterministic,98440.07214233387,0.18000006675720215,
14,ws,43346.52794568063,0.24699997901916504,
14,obj_ldr,78491.32519179517,0.029999971389770508,"[0.0, 0.0, 90.0, 0.0]"
14,reopt_ldr,74644.2849486961,0.18799996376037598,
14,dr_ldr,78488.70506846617,0.0010001659393310547,
15,obj_std,59436.5336383448,0.11899995803833008,"[0.0, 0.0, 76.58057880318849, 0.0]"
15,reopt_std,60387.98049645942,0.1660001277923584,
15,deterministic,41751.22406690425,0.006000041961669922,"[0.0, 0.0, 50.0, 0.0]"
15,reopt_deterministic,91587.12834463753,0.17299985885620117,
15,ws,39487.255602449804,0.2200000286102295,
15,obj_ldr,65899.46407742931,0.031000137329101562,"[0.0, 0.0, 90.0, 0.0]"
15,reopt_ldr,64033.539900217205,0.14100003242492676,
15,dr_ldr,65876.0375228604,0.0009999275207519531,
16,obj_std,63709.65909438256,0.10599994659423828,"[0.0, 76.75524022652338, 0.0, 0.0]"
16,reopt_std,64008.381689886206,0.19300007820129395,
16,deterministic,44686.04729645395,0.011999845504760742,"[0.0, 50.0, 0.0, 0.0]"
16,reopt_deterministic,94570.64281988578,0.17799997329711914,
16,ws,39501.59810640002,0.254000186920166,
16,obj_ldr,72009.40436402227,0.029999971389770508,"[0.0, 90.0, 0.0, 0.0]"
16,reopt_ldr,68391.48868153976,0.18599987030029297,
16,dr_ldr,72008.20188143851,0.0010001659393310547,
17,obj_std,52402.782646687665,0.0989999771118164,"[0.0, 0.0, 0.0, 77.27411963331332]"
17,reopt_std,52935.39471581511,0.1530001163482666,
17,deterministic,35710.71799266914,0.016000032424926758,"[0.0, 0.0, 0.0, 50.0]"
17,reopt_deterministic,85847.22026798716,0.1919999122619629,
17,ws,35890.52420533431,0.22799992561340332,
17,obj_ldr,57982.50322150874,0.03000020980834961,"[0.0, 0.0, 0.0, 90.0]"
17,reopt_ldr,56196.59411534101,0.1359999179840088,
17,dr_ldr,57962.491292580904,0.0009999275207519531,
18,obj_std,57387.24766841726,0.09500002861022949,"[0.0, 78.2082168714141, 0.0, 0.0]"
18,reopt_std,57674.09879001619,0.14599990844726562,
18,deterministic,40165.70559047979,0.003999948501586914,"[0.0, 50.0, 0.0, 0.0]"
18,reopt_deterministic,90606.9763481899,0.1809999942779541,
18,ws,36945.90311211321,0.21900010108947754,
18,obj_ldr,62089.68303310847,0.03099989891052246,"[0.0, 90.0, 0.0, 0.0]"
18,reopt_ldr,60929.10907628395,0.10800004005432129,
18,dr_ldr,62100.17671995606,0.0010001659393310547,
19,obj_std,70654.37063413273,0.10700011253356934,"[0.0, 0.0, 0.0, 77.28389866604546]"
19,reopt_std,69751.54073262624,0.17499995231628418,
19,deterministic,49511.583927978965,0.017999887466430664,"[0.0, 0.0, 0.0, 50.0]"
19,reopt_deterministic,97683.01333459238,0.17800021171569824,
19,ws,42982.580772913854,0.2569999694824219,
19,obj_ldr,79084.5836305723,0.028999805450439453,"[0.0, 0.0, 0.0, 90.0]"
19,reopt_ldr,75026.43633932625,0.18000006675720215,
19,dr_ldr,78951.70229460338,0.0,
20,obj_std,59721.156367057774,0.12999987602233887,"[77.51183968211087, 0.0, 0.0, 0.0]"
20,reopt_std,59932.9752317741,0.1790001392364502,
20,deterministic,40837.63413627518,0.004999876022338867,"[50.0, 0.0, 0.0, 0.0]"
20,reopt_deterministic,91499.0960835819,0.19900012016296387,
20,ws,40871.131997352015,0.2519998550415039,
20,obj_ldr,65849.30774274774,0.029000043869018555,"[90.0, 0.0, 0.0, 0.0]"
20,reopt_ldr,64023.116610016536,0.13899993896484375,
20,dr_ldr,65871.78926565044,0.0010001659393310547,
21,obj_std,54949.09810758319,0.10099983215332031,"[77.98668496078372, 0.0, 0.0, 0.0]"
21,reopt_std,55407.44073906758,0.17600011825561523,
21,deterministic,37287.56140501901,0.0,"[50.0, 0.0, 0.0, 0.0]"
21,reopt_deterministic,87843.37230799343,0.21000003814697266,
21,ws,37324.664992667305,0.24599981307983398,
21,obj_ldr,61137.28646527847,0.0280001163482666,"[90.0, 0.0, 0.0, 0.0]"
21,reopt_ldr,58929.55830190551,0.14700007438659668,
21,dr_ldr,61143.70163584458,0.0009999275207519531,
22,obj_std,70769.64076091119,0.10000014305114746,"[0.0, 75.64085779571427, 0.0, 0.0]"
22,reopt_std,70260.13462321577,0.1640000343322754,
22,deterministic,47616.55138632037,0.015999794006347656,"[0.0, 50.0, 0.0, 0.0]"
22,reopt_deterministic,98072.45646802394,0.20300006866455078,
22,ws,50728.12756259561,0.23799991607666016,
22,obj_ldr,78518.10166841856,0.031000137329101562,"[0.0, 89.99999999999999, 0.0, 0.0]"
22,reopt_ldr,76454.10138676983,0.15599989891052246,
22,dr_ldr,78525.44480975361,0.0010001659393310547,
23,obj_std,67512.00777150657,0.10500001907348633,"[76.05924850465458, 0.0, 0.0, 0.0]"
23,reopt_std,67417.07404332468,0.17600011825561523,
23,deterministic,45690.54885174164,0.0,"[50.0, 0.0, 0.0, 0.0]"
23,reopt_deterministic,95877.84805683163,0.20600008964538574,
23,ws,47298.44632037099,0.25499987602233887,
23,obj_ldr,75263.57399245273,0.029000043869018555,"[90.0, 0.0, 0.0, 0.0]"
23,reopt_ldr,72837.9548431311,0.14899992942810059,
23,dr_ldr,75247.29273531944,0.0009999275207519531,
24,obj_std,55826.844708848126,0.10400009155273438,"[0.0, 0.0, 79.1062174396083, 0.0]"
24,reopt_std,55382.90922738132,0.1699998378753662,
24,deterministic,37471.82445760245,0.0,"[0.0, 0.0, 50.0, 0.0]"
24,reopt_deterministic,88624.60688111933,0.2090001106262207,
24,ws,37448.096628266394,0.24200010299682617,
24,obj_ldr,60953.45551112064,0.029999971389770508,"[0.0, 0.0, 90.0, 0.0]"
24,reopt_ldr,58955.04034457072,0.14700007438659668,
24,dr_ldr,60967.93447071103,0.0019998550415039062,
25,obj_std,61520.72378808406,0.15700006484985352,"[0.0, 0.0, 77.6623904133117, -0.0]"
25,reopt_std,61143.49409167435,0.16499996185302734,
25,deterministic,41913.41484571552,0.0,"[0.0, 0.0, 50.0, 0.0]"
25,reopt_deterministic,91770.61529823537,0.2109999656677246,
25,ws,39464.30321884824,0.21700000762939453,
25,obj_ldr,68403.41750824619,0.0280001163482666,"[0.0, 0.0, 89.99999999999999, 0.0]"
25,reopt_ldr,65497.993956755745,0.15000009536743164,
25,dr_ldr,68396.22316505868,0.0009999275207519531,
26,obj_std,84427.51679547326,0.14400005340576172,"[28.12156670417815, 0.0, 47.02672856192626, 0.0]"
26,reopt_std,83986.3324866071,0.21200013160705566,
26,deterministic,56991.65301630647,0.0,"[50.0, 0.0, 0.0, 0.0]"
26,reopt_deterministic,107627.92198464279,0.21700000762939453,
26,ws,56760.136186625095,0.22299981117248535,
26,obj_ldr,94651.8423439992,0.031000137329101562,"[0.0, 0.0, 90.0, 0.0]"
26,reopt_ldr,91883.6767428786,0.1510000228881836,
26,dr_ldr,94627.78275106853,0.0019998550415039062,
27,obj_std,58953.16277268821,0.1119999885559082,"[0.0, 0.0, 79.64776645500953, 0.0]"
27,reopt_std,58205.00998890336,0.1490001678466797,
27,deterministic,40371.17448925364,0.003999948501586914,"[0.0, 0.0, 50.0, 0.0]"
27,reopt_deterministic,89983.82949443633,0.18000006675720215,
27,ws,38052.23327998059,0.20299983024597168,
27,obj_ldr,63126.77127990281,0.029000043869018555,"[0.0, 0.0, 90.0, 0.0]"
27,reopt_ldr,61826.973968457634,0.11400008201599121,
27,dr_ldr,63074.66971156722,0.0009999275207519531,
28,obj_std,61309.99265986451,0.11100006103515625,"[76.15890163055634, 0.0, 0.0, 0.0]"
28,reopt_std,62472.373120511686,0.15199995040893555,
28,deterministic,43407.85219964701,0.016000032424926758,"[50.0, 0.0, 0.0, 0.0]"
28,reopt_deterministic,94862.28525719454,0.16199994087219238,
28,ws,40305.91245790156,0.23799991607666016,
28,obj_ldr,68419.62852175384,0.029000043869018555,"[90.0, 0.0, 0.0, 0.0]"
28,reopt_ldr,66358.1732890361,0.14700007438659668,
28,dr_ldr,68543.97357909601,0.0009999275207519531,
29,obj_std,61259.09269931004,0.10599994659423828,"[0.0, 0.0, 75.51609536530108, 0.0]"
29,reopt_std,61996.41204976784,0.17299985885620117,
29,deterministic,42131.960327197856,0.0,"[0.0, 0.0, 50.0, 0.0]"
29,reopt_deterministic,92035.06319683696,0.2070000171661377,
29,ws,42242.32926576519,0.2369999885559082,
29,obj_ldr,68749.01412155938,0.031000137329101562,"[0.0, 0.0, 90.0, 0.0]"
29,reopt_ldr,66389.93394365328,0.15899991989135742,
29,dr_ldr,68701.7478169039,0.0010001659393310547,
30,obj_std,64976.106500573995,0.1099998950958252,"[76.52814181996743, 0.0, 0.0, 0.0]"
30,reopt_std,65364.2419284659,0.1789999008178711,
30,deterministic,45804.74906749621,0.0,"[50.0, 0.0, 0.0, 0.0]"
30,reopt_deterministic,94651.39735206681,0.18000006675720215,
30,ws,41856.781340912385,0.2850000858306885,
30,obj_ldr,72979.78782066298,0.03900003433227539,"[90.0, 0.0, 0.0, 0.0]"
30,reopt_ldr,69958.35573454874,0.2519998550415039,
30,dr_ldr,72924.99605935637,0.0010001659393310547,
